source,event_time_raw,event_time_utc,event_time_epoch_ms,incident_type,location
police,09/01/2026 08:00,2026-09-01T12:00:00Z,1788264000000,VEHI,100 PLEASANT ST SE
police,09/01/2026 08:07,2026-09-01T12:07:00Z,1788264420000,DISO,WILLIAMS ST SW / COMMERCE AVE SW
police,09/01/2026 08:14,2026-09-01T12:14:00Z,1788264840000,STOP,1300 28TH ST SE
fire,09/01/2026 08:26,2026-09-01T12:26:00Z,1788265560000,FIREALARM,1800 TREMONT BLVD NW
police,09/01/2026 08:30,2026-09-01T12:30:00Z,1788265800000,ALARM,2000 S DIVISION AVE
fire,09/01/2026 08:34,2026-09-01T12:34:00Z,1788266040000,MED1,600 MONROE AVE NW
police,09/01/2026 08:36,2026-09-01T12:36:00Z,1788266160000,STOP,LEONARD UNDER US-131
fire,09/01/2026 08:38,2026-09-01T12:38:00Z,1788266280000,INVEST,900 BRIDGE ST NW
police,09/01/2026 08:39,2026-09-01T12:39:00Z,1788266340000,CSC,1000 6TH ST NW
police,09/01/2026 08:40,2026-09-01T12:40:00Z,1788266400000,STOP,ALPINE AVE NW / WEBSTER ST NW
police,09/01/2026 08:44,2026-09-01T12:44:00Z,1788266640000,WELFARE,4000 TALLMAN AVE SE
police,09/01/2026 08:59,2026-09-01T12:59:00Z,1788267540000,PDHR,100 BANNER ST SW
police,09/01/2026 09:12,2026-09-01T13:12:00Z,1788268320000,CSC,500 PROSPECT AVE SE
fire,09/01/2026 09:13,2026-09-01T13:13:00Z,1788268380000,MED1,100 BOSTWICK AVE NE
police,09/01/2026 09:14,2026-09-01T13:14:00Z,1788268440000,STOP,PEACHWOOD DR NE / MARYLAND AVE NE
police,09/01/2026 09:22,2026-09-01T13:22:00Z,1788268920000,STOP,PEACHWOOD DR NE / MARYLAND AVE NE
fire,09/01/2026 09:25,2026-09-01T13:25:00Z,1788269100000,MED1,1000 MONROE AVE NW
police,09/01/2026 09:25,2026-09-01T13:25:00Z,1788269100000,STOP,MARTIN LUTHER KING JR ST SE / FULLER AVE SE
police,09/01/2026 09:25,2026-09-01T13:25:00Z,1788269100000,WELFARE,PEARL ST NW / MOUNT VERNON AVE NW
police,09/01/2026 09:27,2026-09-01T13:27:00Z,1788269220000,LARC,2500 BURTON ST SE
police,09/01/2026 09:34,2026-09-01T13:34:00Z,1788269640000,STOP,JEFFERSON AVE SE / GARDEN ST SE
police,09/01/2026 09:39,2026-09-01T13:39:00Z,1788269940000,WELFARE,3200 SALERNO DR NE
police,09/01/2026 09:42,2026-09-01T13:42:00Z,1788270120000,STOP,500 GRAND AVE NE
police,09/01/2026 09:44,2026-09-01T13:44:00Z,1788270240000,PDHR,29TH ST SE / BRETON RD SE
police,09/01/2026 09:44,2026-09-01T13:44:00Z,1788270240000,STOP,HALL ST SE / NELAND AVE SE
police,09/01/2026 09:46,2026-09-01T13:46:00Z,1788270360000,STOP,100 MONROE CENTER ST NW
police,09/01/2026 09:47,2026-09-01T13:47:00Z,1788270420000,STOP,S DIVISION AVE / HOME ST SW
police,09/01/2026 09:49,2026-09-01T13:49:00Z,1788270540000,MISC,100 MARTIN LUTHER KING JR ST SW
fire,09/01/2026 09:53,2026-09-01T13:53:00Z,1788270780000,MED2,1800 BOSTON ST SE
police,09/01/2026 09:58,2026-09-01T13:58:00Z,1788271080000,FI,1200 MADISON AVE SE
police,09/01/2026 10:01,2026-09-01T14:01:00Z,1788271260000,WELFARE,COLLEGE AVE NE / TROWBRIDGE ST NE
police,09/01/2026 10:02,2026-09-01T14:02:00Z,1788271320000,DOM,1300 LEONARD ST NW
fire,09/01/2026 10:05,2026-09-01T14:05:00Z,1788271500000,FIREALARM,600 BRIDGE ST NW
police,09/01/2026 10:05,2026-09-01T14:05:00Z,1788271500000,STOLENV,4200 LANGLEY CT SE
police,09/01/2026 10:12,2026-09-01T14:12:00Z,1788271920000,CHILD,1400 EMERALD AVE NE
police,09/01/2026 10:15,2026-09-01T14:15:00Z,1788272100000,BURGN,300 S DIVISION AVE
police,09/01/2026 10:19,2026-09-01T14:19:00Z,1788272340000,STOP,MADISON AVE SE / 28TH ST SE
police,09/01/2026 10:20,2026-09-01T14:20:00Z,1788272400000,DOM,100 PLEASANT ST SE
police,09/01/2026 10:20,2026-09-01T14:20:00Z,1788272400000,STOP,LEONARD ST NW / MCREYNOLDS AVE NW
fire,09/01/2026 10:22,2026-09-01T14:22:00Z,1788272520000,FIREALARM,1900 PHILADELPHIA AVE SE
police,09/01/2026 10:37,2026-09-01T14:37:00Z,1788273420000,MISSING,4100 HOLYOKE DR SE
police,09/01/2026 10:38,2026-09-01T14:38:00Z,1788273480000,STOP,PEACHWOOD DR NE / MARYLAND AVE NE
police,09/01/2026 10:39,2026-09-01T14:39:00Z,1788273540000,STOP,JEFFERSON AVE SE / HALL ST SE
police,09/01/2026 10:39,2026-09-01T14:39:00Z,1788273540000,STOP,MADISON AVE SE / BROOKSIDE DR SE
police,09/01/2026 10:41,2026-09-01T14:41:00Z,1788273660000,ASSIST,300 BRISTOL AVE NW
police,09/01/2026 10:42,2026-09-01T14:42:00Z,1788273720000,SUICIDETH,200 COLDBROOK ST NE
police,09/01/2026 10:42,2026-09-01T14:42:00Z,1788273720000,CSC,400 FOUNTAIN ST NE
fire,09/01/2026 10:44,2026-09-01T14:44:00Z,1788273840000,MED1,100 LAKESIDE DR NE
fire,09/01/2026 10:55,2026-09-01T14:55:00Z,1788274500000,FIREALARM,1400 FULLER AVE SE
police,09/01/2026 11:02,2026-09-01T15:02:00Z,1788274920000,LARC,1200 SHELDON AVE SE
police,09/01/2026 11:05,2026-09-01T15:05:00Z,1788275100000,FI,900 TAMARACK AVE NW
police,09/01/2026 11:17,2026-09-01T15:17:00Z,1788275820000,DISO,300 S DIVISION AVE
fire,09/01/2026 11:20,2026-09-01T15:20:00Z,1788276000000,MED3,2300 PLAINFIELD AVE NE
